"","Lucro/Prejuizo Consolidado por Periodo","Data2"
"X3","559,937",2009-12-31
"X4","120,459",2010-03-31
"X5","116,956",2010-06-30
"X6","149,419",2010-09-30
"X7","146,800",2010-12-31
"X8","124,259",2011-03-31
"X9","158,792",2011-06-30
"X10","160,190",2011-09-30
"X11","163,780",2011-12-31
"X12","151,275",2012-03-31
"X13","141,835",2012-06-30
"X14","186,946",2012-09-30
"X15","184,808",2012-12-31
"X16","173,071",2013-03-31
"X17","204,762",2013-06-30
"X18","230,218",2013-09-30
"X19","237,253",2013-12-31
"X20","207,331",2014-03-31
"X21","228,095",2014-06-30
"X22","262,596",2014-09-30
"X23","264,294",2014-12-31
"X24","250,797",2015-03-31
"X25","263,218",2015-06-30
"X26","268,121",2015-09-30
"X27","383,674",2015-12-31
"X28","287,258",2016-03-31
"X29","258,206",2016-06-30
"X30","258,009",2016-09-30
"X31","324,359",2016-12-31
"X32","256,542",2017-03-31
"X33","275,106",2017-06-30
"X34","312,889",2017-09-30
"X35","296,405",2017-12-31
"X36","288,144",2018-03-31
"X37","339,040",2018-06-30
"X38","380,112",2018-09-30
"X39","336,852",2018-12-31
"X40","308,207",2019-03-31
"X41","395,260",2019-06-30
"X42","424,540",2019-09-30
"X43","504,448",2019-12-31
"X44","453,975",2020-03-31
"X45","526,517",2020-06-30
"X46","653,612",2020-09-30
